HUMAN,BLEU,UDBLEU,system,,,,
0.317,0.404756808,0.675688424,JHU.5706.de-en,,BLEU-HUMAN-CORREL,UD-HUMAN-CORREL,BLEU-UD-CORREL
0.162,0.358668392,0.654836394,LMU-nmt.5756.de-en,,0.96919633,0.97141651,0.99480449
-0.835,0.135952529,0.504759867,LMU-unsup.5650.de-en,,,,
0.321,0.403013888,0.675073777,MLLP-UPV.5554.de-en,,,,
0.149,0.330916983,0.635422923,NJUNMT-private.5406.de-en,,,,
0.359,0.41907539,0.685017372,NTT.5666.de-en,,,,
0.268,0.354327395,0.651473904,online-A.0.de-en,,,,
0.346,0.38857693,0.664042387,online-B.0.de-en,,,,
-0.296,0.181462458,0.547473726,online-F.0.de-en,,,,
-0.074,0.265228301,0.57785207,online-G.0.de-en,,,,
0.31,0.358685374,0.653879653,online-Y.0.de-en,,,,
0.413,0.43479528,0.689105813,RWTH.5636.de-en,,,,
-0.752,0.146771505,0.526226031,RWTH-UNSUPER.5482.de-en,,,,
0.315,0.393745982,0.665955782,Ubiqus-NMT.5635.de-en,,,,
0.395,0.430448609,0.684718847,UCAM.5690.de-en,,,,
0.261,0.390163537,0.669484861,uedin.5766.de-en,,,,
