,acl,acl:relcl,advcl,advmod,amod,appos,aux,aux:pass,case,cc,cc:preconj,ccomp,compound,compound:prt,conj,cop,csubj,det,det:predet,discourse,expl,fixed,flat,flat:foreign,goeswith,iobj,list,mark,nmod,nmod:npmod,nmod:poss,nmod:tmod,nsubj,nsubj:pass,nummod,obj,obl,obl:npmod,obl:tmod,parataxis,punct,reparandum,root,vocative,xcomp,Other
acl,81997,0,34874,35265,75896,15434,10938,8396,57968,7228,0,31362,2263,2000,63510,8499,1432,41457,0,0,531,105,22549,0,0,5380,0,15851,88222,0,90,0,41701,8922,874,46517,45029,0,0,6081,44042,0,64496,0,36861,6314
acl:relcl,231997,0,16648,52928,47597,9002,32339,12701,40740,4646,0,19634,1618,1511,50040,15745,1130,31229,0,0,839,141,8820,0,0,6565,0,6690,33327,0,103,0,46350,5111,876,42990,32248,0,0,9372,25844,0,55865,0,8634,7879
advcl,55508,0,190969,82089,43419,13180,25922,11599,69045,9164,0,26708,2557,2541,88579,15866,2029,51382,0,0,1636,135,18182,0,0,8988,0,36767,72155,0,63,0,58652,7617,1288,55956,80021,0,0,9764,44441,0,80080,0,38838,9694
advmod,20207,0,10399,2366344,163720,31954,19496,10910,126291,49381,0,10009,4579,8771,72451,18370,386,72053,0,0,3647,1466,33891,0,0,6385,0,59662,82828,0,351,0,71037,8176,4709,50298,88126,0,0,4805,47108,0,69182,0,9486,18315
amod,30894,0,10785,313496,3239918,63626,7264,6566,113226,39304,0,9340,23162,3732,208075,14640,456,235483,0,0,665,271,80767,0,0,11123,0,9257,266177,0,301,0,113775,19502,22584,83385,113165,0,0,6085,61502,0,96233,0,9622,34799
appos,4479,0,1258,19071,25790,176889,1413,1116,12630,4254,0,1065,10143,703,93529,2523,63,11595,0,0,81,21,85190,0,0,4545,0,1199,83444,0,18,0,48473,7182,10953,46707,34824,0,0,3182,12515,0,30515,0,1185,11353
aux,15982,0,8702,121569,15130,4503,682408,120653,36401,3958,0,9387,861,1357,29377,73020,357,41237,0,0,2655,113,6991,0,0,9864,0,17781,15754,0,173,0,76770,5214,880,40143,13450,0,0,6294,12532,0,91524,0,3688,12374
aux:pass,9438,0,5142,64376,8685,4694,83820,315812,28795,2228,0,4795,532,1085,13123,102406,209,29929,0,0,2405,92,3784,0,0,1975,0,17620,7783,0,296,0,23892,5431,776,19200,6629,0,0,3055,9023,0,42092,0,2091,4402
case,38997,0,17540,287572,211331,124991,34741,21422,4954974,72818,0,17261,11700,37304,106459,20570,749,999446,0,0,1270,3297,90621,0,0,15259,0,174321,203853,0,1332,0,168227,29014,11495,133295,98386,0,0,8748,251760,0,130244,0,13176,67073
cc,1776,0,544,149763,16652,7104,1153,382,54875,2736787,0,315,3457,1197,6789,3276,23,13915,0,0,467,239,10972,0,0,744,0,11507,13565,0,214,0,11677,1488,3016,6322,6242,0,0,618,181665,0,8072,0,488,6818
cc:preconj,43,0,12,9038,572,119,91,35,1348,21275,0,13,9,14,198,213,1,2153,0,0,14,4,106,0,0,36,0,152,231,0,1,0,742,94,82,369,187,0,0,49,131,0,120,0,12,86
ccomp,33969,0,17745,48088,22389,6643,25607,10633,22845,2598,0,134549,1183,1179,40402,15002,3245,26352,0,0,1654,101,6606,0,0,4416,0,6984,24143,0,27,0,33248,3928,561,37880,26213,0,0,11674,19480,0,53557,0,16987,5249
compound,13040,0,5883,91909,642345,275150,5204,5412,122771,36710,0,3579,157183,3280,294807,11278,264,139507,0,0,420,204,399444,0,0,22170,0,6839,848118,0,111,0,260863,43436,57214,140327,225845,0,0,3666,73671,0,89777,0,5107,62311
compound:prt,8023,0,5241,11826,3556,1141,1656,3798,18940,1025,0,4062,148,3271,11309,1032,240,6649,0,0,62,85,1389,0,0,648,0,3474,4490,0,11,0,6336,869,226,8958,4293,0,0,1163,12135,0,20438,0,4490,1414
conj,47971,0,22608,135593,152764,94126,38255,19883,86781,38215,0,18867,17773,5874,1907332,30569,914,86571,0,0,1709,234,123822,0,0,18425,0,17800,243493,0,199,0,139246,24199,12166,169081,141451,0,0,19731,64409,0,114051,0,23263,22881
cop,17806,0,12684,96552,12693,4596,94946,76049,46337,3871,0,15506,587,1072,29184,637847,387,43260,0,0,5494,152,7138,0,0,4640,0,10268,12444,0,207,0,54504,2576,989,35946,7363,0,0,8814,15074,0,127314,0,3054,6992
csubj,4074,0,1958,3730,1737,582,1649,488,2790,283,0,3780,133,83,4294,1039,1853,3603,0,0,98,12,488,0,0,359,0,1832,2657,0,4,0,8347,694,42,2664,2105,0,0,443,3066,0,9970,0,6877,744
