,ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PART,PRON,PROPN,PUNCT,SCONJ,SYM,VERB,X,Other
ADJ,3881324,110279,246516,42428,38957,142930,0,690279,30024,19271,198813,418030,70965,6074,1432,223479,24166,0
ADP,208976,5002702,224419,62854,92092,929848,0,436525,18419,83478,218003,528837,227194,76607,490,284889,15790,0
ADV,659137,152344,1620112,28606,52990,52110,0,209084,5488,85693,144879,94246,45853,99038,439,120965,6476,0
AUX,78172,111444,213929,1371213,9349,113357,0,97457,4336,53384,283605,67407,36415,24237,205,1246010,4635,0
CCONJ,19360,51468,137811,1492,2724818,13213,0,26760,3961,5879,18834,61357,137526,9052,206,13023,11623,0
DET,196630,167296,133497,6236,26383,6097426,0,134896,16822,18139,1276108,521422,32560,36546,278,30424,13699,0
INTJ,5112,896,9629,347,437,522,0,18552,486,10518,4766,17636,888,252,7,5620,1697,0
NOUN,902987,428914,317596,90802,123867,379323,0,12665037,62399,58891,210681,1767763,267851,23734,3509,686799,193373,0
NUM,38697,20254,10141,2594,5990,71990,0,122575,1057281,1082,53450,149206,20847,479,200,18207,119929,0
PART,33576,284852,76647,193453,9083,162375,0,69322,881,578204,107751,77013,173545,13720,252,50888,5522,0
PRON,87217,49762,206839,62047,24037,772789,0,138824,5841,14813,3138418,136546,247038,85319,214,147575,8184,0
PROPN,233798,46359,23873,10439,13649,50111,0,1431766,31662,2552,25445,3598911,45306,2106,702,67863,30011,0
PUNCT,46102,112216,175102,86206,160888,63734,0,213769,30077,5562,37917,96063,8901405,3175,1264,142724,217922,0
SCONJ,21143,246136,82606,16458,49439,77726,0,41849,1117,17473,57208,35490,114881,739099,51,38262,1662,0
SYM,2737,2107,599,84,3101,648,0,62816,1215,36,372,35546,41402,37,6701,994,35300,0
VERB,747100,423575,277611,392864,44982,306212,0,1153446,12742,54486,382076,313736,236553,61728,993,3489658,31119,0
X,10879,9742,6163,804,4091,6318,0,29000,8067,7305,3467,114213,6988,355,61,6532,9959,0
